trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,textGame.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01460629999928642,0.02926619999925606,0.02926619999925606,1.0524136999993061,space,1.011648800002149,None,,,,,,,,,,,,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,W,italic,E,italic,U,bold,P,bold,M,italic,Y,italic,A,italic,S,italic,7.0,A,italic,A,bold,T,italic,T,bold,0,0,0,n,1.0633711999980733,None,0,0,0,6,1.229734799999278,,,,,,,,,1.2093652999974438,1.229734799999278,2.065642499997921,2.065671199998178,2.0802000999974553,2.0802000999974553,3.149073099997622,n,1.0633711999980733,None,,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,W,italic,E,italic,I,italic,F,bold,A,italic,S,italic,T,bold,O,italic,1.0,W,italic,W,bold,I,italic,I,bold,1,1,0,n,1.0823100999987219,None,0,1,1,24,3.1629623000007996,,,,,,,,,3.149250499998743,3.1629623000007996,4.148665799999435,4.148691599999438,4.162734499997896,4.162734499997896,5.248802899997827,n,1.0823100999987219,None,4.162734499997896,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,I,bold,E,italic,A,bold,T,italic,S,bold,P,italic,W,italic,Y,bold,8.0,Y,bold,Y,italic,U,bold,U,italic,2,2,0,n,1.6886778000007325,None,0,2,2,135,5.262516999999207,,,,,,,,,5.249013099997683,5.262516999999207,6.248354600000312,6.2483807999997225,6.262429300000804,6.262429300000804,7.964999399999215,n,1.6886778000007325,None,6.262429300000804,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,W,bold,E,italic,U,bold,P,italic,T,bold,O,italic,M,italic,Y,italic,4.0,P,italic,P,bold,I,italic,I,bold,3,3,0,n,0.8456034999981057,None,0,3,3,51,7.979061099998944,,,,,,,,,7.965162699998473,7.979061099998944,8.972472800000105,8.972545799999352,8.979455900000175,8.979455900000175,9.831502099998033,n,0.8456034999981057,None,,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,Y,italic,I,bold,U,bold,M,italic,E,italic,P,bold,F,italic,O,italic,1.0,Y,italic,Y,bold,T,italic,T,bold,4,4,0,n,0.5542179000003671,None,0,4,4,104,9.845441599998594,,,,,,,,,9.83166379999966,9.845441599998594,10.83119479999732,10.831221899999946,10.84515669999746,10.84515669999746,11.41471779999847,n,0.5542179000003671,None,10.84515669999746,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,A,bold,S,bold,W,bold,E,bold,U,bold,P,italic,T,bold,O,bold,8.0,O,bold,O,italic,W,bold,W,italic,5,5,0,n,0.8224826000005123,None,0,5,5,31,11.428522499998508,,,,,,,,,11.41489349999756,11.428522499998508,12.414253999999346,12.414279500000703,12.428401099998155,12.428401099998155,13.264424199998757,n,0.8224826000005123,None,12.428401099998155,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,E,italic,I,italic,U,bold,W,bold,P,bold,S,bold,T,bold,Y,bold,2.0,I,italic,I,bold,A,italic,A,bold,6,6,0,n,1.3219871000001149,None,0,6,6,153,13.27824150000015,,,,,,,,,13.264586799999961,13.27824150000015,14.263922300000559,14.2639468999987,14.278199199998198,14.278199199998198,15.614050399999542,n,1.3219871000001149,None,14.278199199998198,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,I,bold,S,bold,O,bold,P,bold,E,bold,U,bold,M,italic,W,italic,4.0,P,bold,P,italic,I,bold,I,italic,7,7,0,n,0.4716703000012785,None,0,7,7,139,15.628118599997833,,,,,,,,,15.614213900000323,15.628118599997833,16.613642000000254,16.613667199999327,16.62797209999917,16.62797209999917,17.11385539999901,n,0.4716703000012785,None,16.62797209999917,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,Y,bold,S,bold,F,italic,M,italic,T,italic,I,italic,U,bold,O,italic,1.0,Y,bold,Y,italic,W,bold,W,italic,8,8,0,n,0.32455689999915194,None,0,8,8,128,17.127928199999587,,,,,,,,,17.1140267999981,17.127928199999587,18.113521799998125,18.113546000000497,18.127783799998724,18.127783799998724,18.463773100000253,n,0.32455689999915194,None,18.127783799998724,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,W,bold,E,bold,U,bold,P,italic,I,bold,F,italic,A,bold,S,italic,4.0,P,italic,P,bold,T,italic,T,bold,9,9,0,n,0.30308230000082403,None,0,9,9,59,18.47763230000055,,,,,,,,,18.463935100000526,18.47763230000055,19.46337009999843,19.46339479999733,19.477700399998866,19.477700399998866,19.79696519999925,n,0.30308230000082403,None,19.477700399998866,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
chunk,I,bold,F,bold,A,italic,S,bold,W,italic,E,italic,U,bold,P,italic,1.0,I,bold,I,italic,T,bold,T,italic,10,10,0,n,0.3229037999990396,None,0,10,10,72,19.810852999999042,,,,,,,,,19.797129299997323,19.810852999999042,20.796434100000624,20.79647059999843,20.810720199999196,20.810720199999196,21.146701499998017,n,0.3229037999990396,None,20.810720199999196,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,O,bold,M,bold,F,italic,A,bold,T,italic,U,italic,E,italic,P,italic,1.0,O,bold,O,italic,I,bold,I,italic,11,11,0,n,0.24220530000093277,None,0,11,11,112,21.160699000000022,,,,,,,,,21.146864199999982,21.160699000000022,22.146475099998497,22.1464988000007,22.160611600000266,22.160611600000266,22.41340339999806,n,0.24220530000093277,None,22.160611600000266,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
random,W,bold,M,bold,U,italic,Y,bold,T,italic,I,bold,P,italic,E,italic,6.0,I,bold,I,italic,O,bold,O,italic,12,12,0,n,0.277210100000957,None,0,12,12,93,22.42724509999971,,,,,,,,,22.413569799999095,22.42724509999971,23.412803999999596,23.41282929999943,23.427263199999288,23.427263199999288,23.713186199998745,n,0.277210100000957,None,23.427263199999288,301627,001,2025-08-14_19h52.11.001,prelearned_chunks,2024.2.4,60.36544030271152,2025-08-14 19h52.16.223820 -0500,
