trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,trial.started,textGame.started,trial.stopped,textGame.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017733000000589527,0.03461840000090888,0.03461840000090888,1.8119208000025537,space,1.7515232000005199,None,,,,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,W,italic,M,bold,A,bold,E,bold,Y,bold,P,italic,T,bold,I,italic,1.0,W,italic,W,bold,S,italic,S,bold,0,0,0,0,0,0,152,2.004613100001734,,,,,,,,,1.981408300001931,2.004613100001734,2.8128362000024936,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,I,italic,F,italic,M,italic,Y,italic,T,italic,O,italic,U,bold,P,bold,2.0,F,italic,F,bold,T,italic,T,bold,1,1,0,0,1,1,25,2.8273831000005885,,,,,,,,,2.8130469000025187,2.8273831000005885,3.8126231000023836,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,W,bold,E,italic,U,bold,P,bold,I,bold,F,italic,T,bold,O,bold,8.0,O,bold,O,italic,S,bold,S,italic,2,2,0,0,2,2,63,3.8273036000027787,,,,,,,,,3.8127921000013885,3.8273036000027787,4.812771900000371,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,W,italic,E,italic,T,bold,O,bold,U,italic,P,italic,I,bold,F,bold,2.0,E,italic,E,bold,S,italic,S,bold,3,3,0,0,3,3,9,4.82720049999989,,,,,,,,,4.812946400001238,4.82720049999989,5.813129800000752,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,A,italic,S,bold,W,italic,E,bold,M,bold,Y,italic,T,italic,O,bold,6.0,Y,italic,Y,bold,I,italic,I,bold,4,4,0,0,4,4,53,5.827165500002593,,,,,,,,,5.813345400001708,5.827165500002593,6.8134032000016305,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,E,italic,M,italic,S,italic,P,italic,T,italic,U,italic,O,bold,A,bold,3.0,S,italic,S,bold,Y,italic,Y,bold,5,5,0,0,5,5,114,6.827211499999976,,,,,,,,,6.81355750000148,6.827211499999976,7.817320300000574,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,P,bold,A,italic,I,bold,T,bold,U,bold,E,italic,M,bold,F,bold,7.0,M,bold,M,italic,W,bold,W,italic,6,6,0,0,6,6,150,7.830815500001336,,,,,,,,,7.817480400000932,7.830815500001336,8.812256900000648,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,I,bold,W,italic,Y,italic,F,italic,P,italic,A,bold,O,bold,M,italic,1.0,I,bold,I,italic,I,bold,I,italic,7,7,0,0,7,7,96,8.826808500001789,,,,,,,,,8.812498600000254,8.826808500001789,9.812087900001643,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,T,bold,O,bold,A,italic,S,italic,U,bold,P,bold,W,italic,E,italic,4.0,S,italic,S,bold,I,italic,I,bold,8,8,0,0,8,8,19,9.82663859999957,,,,,,,,,9.812385900000663,9.82663859999957,10.813173599999573,,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,W,italic,U,italic,I,bold,P,bold,E,bold,Y,italic,M,bold,F,bold,7.0,M,bold,M,italic,T,bold,T,italic,9,9,0,0,9,9,118,10.826863300000696,,,,,,,,,10.813350100001117,10.826863300000696,11.812213900000643,11.826304600002914,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,O,italic,P,italic,E,italic,T,bold,W,bold,U,italic,M,bold,A,bold,5.0,W,bold,W,italic,I,bold,I,italic,10,10,0,0,10,10,116,11.826304600002914,,,,,,,,,11.812421099999483,11.826304600002914,12.812145200001396,12.826334600002156,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
random,E,bold,T,bold,U,italic,Y,bold,P,italic,O,bold,I,italic,W,italic,2.0,T,bold,T,italic,A,bold,A,italic,11,11,0,0,11,11,113,12.826334600002156,,,,,,,,,12.812324400001671,12.826334600002156,13.811723300001177,13.826152699999511,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,M,italic,Y,bold,U,italic,P,bold,T,bold,O,italic,A,italic,S,bold,3.0,U,italic,U,bold,I,italic,I,bold,12,12,0,0,12,12,66,13.826152699999511,,,,,,,,,13.811881199999334,13.826152699999511,14.811770200001774,14.825932400002785,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
chunk,W,bold,E,italic,A,italic,S,bold,U,italic,P,italic,T,italic,O,italic,7.0,T,italic,T,bold,I,italic,I,bold,13,13,0,0,13,13,78,14.825932400002785,,,,,,,,,14.811919899999339,14.825932400002785,15.811760399999912,15.825894100002188,377052,001,2025-08-14_19h47.52.587,prelearned_chunks,2024.2.4,59.911271406650954,2025-08-14 19h47.58.843463 -0500,
