trialType,letter1,type_letter1,letter2,type_letter2,letter3,type_letter3,letter4,type_letter4,letter5,type_letter5,letter6,type_letter6,letter7,type_letter7,letter8,type_letter8,starPosition,letterTarget,TypeTarget,letterFoil1,typeFoil1,letterFoil2,typeFoil2,letterFoil3,typeFoil3,thisN,thisTrialN,thisRepN,keyRespuesta.keys,keyRespuesta.rt,keyRespuesta.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,textWelcome.started,keySkip1.started,welcome.stopped,keySkip1.keys,keySkip1.rt,keySkip1.duration,cross.started,textCross.started,cross.stopped,trial.started,keyRespuesta.started,trial.stopped,trials.keyRespuesta.keys,trials.keyRespuesta.rt,trials.keyRespuesta.duration,textCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012222999939695,0.028675399953499436,0.028675399953499436,0.48789689992554486,space,0.4382507000118494,None,,,,,,,,,,,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,U,bold,W,italic,E,italic,I,italic,F,bold,Y,bold,S,italic,M,bold,5.0,F,bold,F,italic,T,bold,T,italic,0,0,0,space,1.114085300010629,None,0,0,0,84,0.6093799999216571,,,,,,,,,0.5911866999231279,0.6093799999216571,1.498614199925214,1.5308374000014737,1.5415309999370947,2.6657277999911457,space,1.114085300010629,None,,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
chunk,M,bold,Y,bold,I,italic,F,bold,A,italic,S,italic,U,bold,P,bold,2.0,Y,bold,Y,italic,T,bold,T,italic,1,1,0,space,0.6842213000636548,None,0,1,1,57,2.6751188999041915,,,,,,,,,2.666072499938309,2.6751188999041915,3.6631375999422744,3.686243399977684,3.706758299958892,4.398807299905457,space,0.6842213000636548,None,3.706758299958892,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,T,bold,U,bold,S,italic,Y,italic,E,italic,A,bold,M,bold,O,bold,4.0,Y,italic,Y,bold,P,italic,P,bold,2,2,0,space,1.6699586999602616,None,0,2,2,115,4.407267599948682,,,,,,,,,4.39907869999297,4.407267599948682,5.394146299920976,5.421244199969806,5.438953600008972,7.126506499946117,space,1.6699586999602616,None,5.438953600008972,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,A,bold,I,italic,T,italic,Y,italic,P,italic,W,italic,O,italic,S,bold,2.0,I,italic,I,bold,E,italic,E,bold,3,3,0,space,1.1334091000026092,None,0,3,3,97,7.138201599940658,,,,,,,,,7.126751599949785,7.138201599940658,8.126451799995266,8.152284999960102,8.16972020000685,9.31061189994216,space,1.1334091000026092,None,8.16972020000685,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
chunk,W,italic,E,bold,T,bold,O,italic,I,bold,F,bold,A,bold,S,bold,4.0,O,italic,O,bold,U,italic,U,bold,4,4,0,space,1.158506599953398,None,0,4,4,11,9.319734299904667,,,,,,,,,9.310898499912582,9.319734299904667,10.308425599941984,10.328069499926642,10.333957799943164,11.507052199915051,space,1.158506599953398,None,10.333957799943164,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
chunk,W,italic,E,italic,M,italic,Y,bold,I,italic,F,italic,U,bold,P,bold,5.0,I,italic,I,bold,T,italic,T,bold,5,5,0,space,0.9760674999561161,None,0,5,5,4,11.518582499935292,,,,,,,,,11.50737130001653,11.518582499935292,12.505785099929199,12.531897899927571,12.548908700002357,13.536605499917641,space,0.9760674999561161,None,12.548908700002357,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,Y,bold,S,bold,F,italic,M,italic,T,italic,I,italic,U,bold,O,italic,1.0,Y,bold,Y,italic,W,bold,W,italic,6,6,0,space,0.7642797000007704,None,0,6,6,128,13.548874499974772,,,,,,,,,13.536789599922486,13.548874499974772,14.536818499909714,14.553358200006187,14.564279199927114,15.33848689997103,space,0.7642797000007704,None,,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
chunk,I,italic,F,italic,T,bold,O,italic,W,italic,E,italic,A,bold,S,bold,1.0,I,italic,I,bold,P,italic,P,bold,7,7,0,space,0.8130378000205383,None,0,7,7,8,15.34806829993613,,,,,,,,,15.338754699914716,15.34806829993613,16.335168999969028,16.355111000011675,16.3625329999486,17.186263999901712,space,0.8130378000205383,None,16.3625329999486,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,A,italic,F,italic,U,bold,T,italic,E,bold,M,italic,P,italic,S,bold,1.0,A,italic,A,bold,O,italic,O,bold,8,8,0,space,0.6299071999965236,None,0,8,8,136,17.197062799939886,,,,,,,,,17.186553000006825,17.197062799939886,18.18510639993474,18.220260499976575,18.22754829993937,18.86646159994416,space,0.6299071999965236,None,18.22754829993937,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,U,bold,M,bold,Y,italic,I,italic,E,bold,P,bold,A,italic,W,italic,5.0,E,bold,E,italic,T,bold,T,italic,9,9,0,space,0.8608388000866398,None,0,9,9,108,18.87856809992809,,,,,,,,,18.866677399957553,18.87856809992809,19.86566299991682,19.889632600010373,19.910347900004126,20.778920599957928,space,0.8608388000866398,None,19.910347900004126,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
random,W,bold,S,bold,U,bold,T,italic,M,bold,A,bold,I,italic,O,italic,3.0,U,bold,U,italic,E,bold,E,italic,10,10,0,space,0.8274388000136241,None,0,10,10,106,20.793008100008592,,,,,,,,,20.779094099998474,20.793008100008592,21.780930000008084,21.812797599937767,21.825110499979928,22.66303319996223,space,0.8274388000136241,None,,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
chunk,T,bold,O,italic,A,italic,S,italic,M,italic,Y,bold,W,bold,E,italic,4.0,S,italic,S,bold,A,italic,A,bold,11,11,0,space,1.4348363999743015,None,0,11,11,43,22.674998399917968,,,,,,,,,22.66325479990337,22.674998399917968,23.663365899934433,23.681480799918063,23.689967099926434,25.12993609998375,space,1.4348363999743015,None,23.689967099926434,388281,001,2025-08-15_17h34.35.684,prelearned_chunks,2024.2.4,60.10948343506023,2025-08-15 17h34.40.258780 -0400,
